fig_num,name,inventory_id,set_num,set_name,year,parent_id,parent_theme,theme_id,theme
fig-000016,Stealthor,15363,70146-1,Flying Phoenix Fire Temple,2014,571,Legends of Chima,571,Legends of Chima
fig-000016,Stealthor,16257,70143-1,Sir Fangar's Sabre-Tooth Walker,2014,571,Legends of Chima,571,Legends of Chima
fig-000016,Stealthor,42856,BIGBOX-1,The Ultimate Battle for Chima,2015,571,Legends of Chima,571,Legends of Chima
fig-000017,Gorzan,3341,70147-1,Sir Fangar’s Ice Fortress,2014,571,Legends of Chima,571,Legends of Chima
fig-000017,Gorzan,13271,391501-1,Gorzan,2015,571,Legends of Chima,571,Legends of Chima
fig-000017,Gorzan,16257,70143-1,Sir Fangar's Sabre-Tooth Walker,2014,571,Legends of Chima,571,Legends of Chima
fig-000017,Gorzan,42856,BIGBOX-1,The Ultimate Battle for Chima,2015,571,Legends of Chima,571,Legends of Chima
fig-000018,Alien,1281,30070-1,Alien Space Ship,2010,275,Toy Story,275,Toy Story
fig-000018,Alien,6650,7592-1,Construct-a-Buzz,2010,275,Toy Story,275,Toy Story
fig-000018,Alien,8249,7598-1,Pizza Planet Truck Rescue,2010,275,Toy Story,275,Toy Story
fig-000018,Alien,13421,852949-1,Toy Story Magnet Set,2010,501,Gear,501,Gear
fig-000018,Alien,15749,7591-1,Construct-a-Zurg,2010,275,Toy Story,275,Toy Story
fig-000019,"UFO Alien, Blue",4952,6975-1,Alien Avenger,1997,126,Space,144,UFO
fig-000019,"UFO Alien, Blue",5334,6900-1,Cyber Saucer,1997,126,Space,144,UFO
fig-000019,"UFO Alien, Blue",15837,6999-1,Cyber Saucer,1997,126,Space,144,UFO
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",55,6711-1,Space Mini-Figs,1983,126,Space,143,Supplemental
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",446,6890-1,Cosmic Cruiser,1982,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",782,920-2,Rocket Launch Pad,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",799,487-1,Space Cruiser,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",1410,14-1,Space Mini Figures,1982,443,Service Packs,443,Service Packs
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",1414,0012-1,Space Mini-Figures,1979,126,Space,143,Supplemental
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",1796,885-1,Space Scooter,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",2125,918-1,Space Transport,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",2170,926-1,Command Centre,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",3909,6929-1,Star Fleet Voyager,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",3999,6901-1,Mobile Lab,1980,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",4930,497-1,Galaxy Explorer,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",6624,928-1,Space Cruiser and Moonbase,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",6636,6861-1,X1 Patrol Craft,1980,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",7817,6841-1,Mineral Detector,1980,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",7914,6701-1,Minifig Pack,1983,126,Space,143,Supplemental
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",8311,6980-1,Galaxy Commander,1983,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",8347,924-1,Space Transporter,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",8694,483-1,Alpha-1 Rocket Base,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",9120,6842-1,Shuttle Craft,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",9431,6822-1,Space Digger,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",9575,6970-1,Beta I Command Base,1980,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",9915,493-1,Space Command Center (Flatplate version),1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",10230,462-1,Rocket Launcher,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",10548,6951-1,Robot Command Center,1984,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",10980,6846-1,Tri-Star Voyager,1984,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",12208,0015-1,Space Mini-Figures,1979,126,Space,143,Supplemental
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",12490,6927-1,All-Terrain Vehicle,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",12967,897-1,Mobile Rocket Launcher,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",13345,6870-1,Space Probe Launcher,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",13473,493-3,Space Command Center (Craterplate version),1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",14635,889-1,Radar Truck,1979,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",15036,1593-1,Super Model,1983,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",15981,6930-1,Space Supply Station,1983,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",20189,6970-1,Beta I Command Base,1980,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",23051,6890-1,Cosmic Cruiser,1982,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",118015,6846-1,Tri-Star Voyager,1984,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",126251,6927-1,All-Terrain Vehicle,1981,126,Space,130,Classic Space
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",147202,6822-1,Space Digger,1981,126,Space,130,Classic Space
fig-000021,Krusty the Clown (CMF),3320,71227-1,Krusty Fun Pack,2015,604,Dimensions,604,Dimensions
fig-000021,Krusty the Clown (CMF),7979,71005-8,Krusty the Clown,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000022,Chicken Suit Guy,1860,5004468-1,Easter Minifigure,2016,206,Seasonal,229,Easter
fig-000022,Chicken Suit Guy,9843,71000-7,Chicken Suit Guy,2013,535,Collectible Minifigures,544,Series 9 Minifigures
fig-000023,Warrior Woman,576,71001-4,Warrior Woman,2013,535,Collectible Minifigures,545,Series 10 Minifigures
fig-000024,Race Car Driver (CMF),13302,8803-11,Race Car Driver,2011,535,Collectible Minifigures,538,Series 3 Minifigures
fig-000025,Conquistador,2085,8833-2,Conquistador,2012,535,Collectible Minifigures,543,Series 8 Minifigures
fig-000026,Firox,5647,9781409350545-1,Legends of Chima: Character Encyclopedia,2014,497,Books,497,Books
fig-000027,"UFO Alien, Red",870,2847-1,Flyer,1997,126,Space,144,UFO
fig-000027,"UFO Alien, Red",4952,6975-1,Alien Avenger,1997,126,Space,144,UFO
fig-000027,"UFO Alien, Red",12968,6979-1,Interstellar Starfighter,1997,126,Space,144,UFO
fig-000027,"UFO Alien, Red",14570,6915-1,Warp Wing Fighter,1997,126,Space,144,UFO
fig-000028,"Hulk, Dark Purple Pants, Printed",7686,5000022-1,Hulk,2012,696,Super Heroes Marvel,696,Super Heroes Marvel
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",5345,4841-1,Hogwarts Express,2010,246,Harry Potter,246,Harry Potter
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",6046,30110-1,Trolley,2011,246,Harry Potter,246,Harry Potter
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",124147,880021-1,Armor Case Kit for Nintendo DSi - Harry Potter,2011,501,Gear,501,Gear
fig-000030,Space Police II,1736,3015-1,Space Police Car,1999,126,Space,140,Space Police II
fig-000030,Space Police II,3297,6984-1,Galactic Mediator,1992,126,Space,140,Space Police II
fig-000030,Space Police II,5681,1969-1,Mini Robot,1993,126,Space,140,Space Police II
fig-000030,Space Police II,6884,6852-1,Sonar Security,1993,126,Space,140,Space Police II
fig-000030,Space Police II,10326,6957-1,Solar Snooper,1992,126,Space,140,Space Police II
fig-000030,Space Police II,14019,6897-1,Rebel Hunter,1992,126,Space,140,Space Police II
fig-000030,Space Police II,15104,1916-1,Starion Patrol,1993,126,Space,140,Space Police II
fig-000030,Space Police II,90300,6852-1,Sonar Security,1993,126,Space,140,Space Police II
fig-000031,Street Skater,7369,8804-9,Street Skater,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",1364,76011-1,Batman: Man-Bat Attack,2014,695,Super Heroes DC,697,Batman
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",1388,76013-1,Batman: The Joker Steam Roller,2014,695,Super Heroes DC,697,Batman
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",1954,30160-1,Bat Jetski,2012,695,Super Heroes DC,697,Batman
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",4116,6864-1,Batmobile and the Two-Face Chase,2012,695,Super Heroes DC,697,Batman
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",9213,70815-1,Super Secret Police Dropship,2014,578,The LEGO Movie,578,The LEGO Movie
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",10339,6863-1,Batwing Battle Over Gotham City,2012,695,Super Heroes DC,697,Batman
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",94102,853431-1,Super Heroes Magnet Set,2012,501,Gear,501,Gear
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",137740,6864-1,Batmobile and the Two-Face Chase,2012,695,Super Heroes DC,697,Batman
fig-000033,"Red Torso, Dark Blue Legs, Light Bluish Gray Helmet",11902,31025-1,Mountain Hut,2014,22,Creator,672,Creator 3-in-1
fig-000034,Aquanaut 2,3111,1822-1,Sea Claw 7,1995,307,Aquazone,308,Aquanauts
fig-000034,Aquanaut 2,6735,6195-1,Neptune Discovery Lab,1995,307,Aquazone,308,Aquanauts
fig-000034,Aquanaut 2,6811,1749-1,Paravane,1996,307,Aquazone,308,Aquanauts
fig-000034,Aquanaut 2,6912,1806-1,Underwater Scooter,1996,307,Aquazone,308,Aquanauts
fig-000034,Aquanaut 2,13280,6145-1,Crystal Crawler,1996,307,Aquazone,308,Aquanauts
fig-000034,Aquanaut 2,14989,1728-1,Crystal Crawler,1996,307,Aquazone,308,Aquanauts
fig-000035,Milhouse Van Houten (CMF),3264,71005-9,Milhouse Van Houten,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000036,Crazy Scientist,8644,8804-16,Crazy Scientist,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000037,Pop Star (CMF),15423,8684-11,Pop Star,2010,535,Collectible Minifigures,537,Series 2 Minifigures
fig-000037,Pop Star (CMF),30706,853383-1,Girl Magnet Set 2012,2012,501,Gear,501,Gear
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",284,588-1,Police Headquarters,1979,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",1039,6308-1,Policemen,1982,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",3268,381-2,Police Headquarters,1979,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",10619,6384-1,Police Station,1983,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",15671,645-1,Police Helicopter,1979,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",16036,6684-1,Police Patrol Squad,1984,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",42209,381-2,Police Headquarters,1979,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",88149,6384-1,Police Station,1983,50,Town,67,Classic Town
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",136179,588-1,Police Headquarters,1979,50,Town,67,Classic Town
fig-000040,"Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat",10734,6627-1,Convertible,1980,50,Town,67,Classic Town
fig-000041,Ralph Wiggum,12007,71005-10,Ralph Wiggum,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000042,Ralph Wiggum (CMF),30342,71005-10,Ralph Wiggum,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000043,Dr. Kilroy in Dark Gray Suit,10841,7415-1,Aero Nomad,2003,296,Adventurers,300,Orient Expedition
fig-000043,Dr. Kilroy in Dark Gray Suit,15465,7423-2,Mountain Sleigh (Kabaya Promotional),2003,296,Adventurers,300,Orient Expedition
fig-000043,Dr. Kilroy in Dark Gray Suit,16104,7423-1,Mountain Sleigh,2003,296,Adventurers,300,Orient Expedition
fig-000044,"Basketball Player, Violet Torso, Violet Legs 3",6428,3432-1,NBA Challenge,2003,458,Sports,459,Basketball
fig-000044,"Basketball Player, Violet Torso, Violet Legs 3",6712,3584-1,Rapid Return,2003,458,Sports,459,Basketball
fig-000044,"Basketball Player, Violet Torso, Violet Legs 3",15415,3427-1,NBA Slam Dunk,2003,458,Sports,459,Basketball
fig-000046,Surfer (CMF),7856,850449-1,Minifigure Beach Accessory Pack,2012,535,Collectible Minifigures,535,Collectible Minifigures
fig-000046,Surfer (CMF),9012,8684-15,Surfer,2010,535,Collectible Minifigures,537,Series 2 Minifigures
fig-000047,Tomahawk Warrior,6092,71001-5,Tomahawk Warrior,2013,535,Collectible Minifigures,545,Series 10 Minifigures
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",4989,4933-1,Street Sweeper,2007,52,City,63,Traffic
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",9172,7905-1,Building Crane,2006,52,City,56,Construction
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",19777,7905-1,Building Crane,2006,52,City,56,Construction
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",22829,7994-1,City Harbor,2007,52,City,59,Harbor
fig-000049,LEGO Store Employee,5351,5001622-1,LEGO Store Employee,2013,408,LEGO Brand Store,408,LEGO Brand Store
fig-000050,Apu Nahasapeemapetilon (CMF),11971,71005-11,Apu Nahasapeemapetilon,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",9172,7905-1,Building Crane,2006,52,City,56,Construction
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",11098,7898-1,Cargo Train Deluxe,2006,52,City,66,Trains
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",15298,7903-1,Rescue Helicopter,2006,52,City,60,Hospital
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",19777,7905-1,Building Crane,2006,52,City,56,Construction
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",86236,7898-1,Cargo Train Deluxe,2006,52,City,66,Trains
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",1594,7245-1,"Prisoner Transport, Black Logo",2005,52,City,61,Police
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",8707,5612-1,Police Officer,2008,52,City,61,Police
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",15362,7245-2,Prisoner Transport - Blue Sticker Version,2008,52,City,61,Police
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",29482,7245-2,Prisoner Transport - Blue Sticker Version,2008,52,City,61,Police
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",3393,1970-1,Pirate's Gun Cart,1993,147,Pirates,148,Pirates I
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",6203,1492-1,Battle Cove,1992,147,Pirates,148,Pirates I
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",11188,1889-1,Pirate's Treasure Hold,1992,147,Pirates,148,Pirates I
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",11761,6263-1,Imperial Outpost,1995,147,Pirates,148,Pirates I
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",15467,6286-1,Skull's Eye Schooner,1993,147,Pirates,148,Pirates I
fig-000055,Itchy,8945,71005-13,Itchy,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000056,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",3609,5001709-1,Clone Trooper Lieutenant,2013,158,Star Wars,158,Star Wars
fig-000057,Archer (Fright Knights),4029,6004-1,Crossbow Cart,1997,186,Castle,195,Fright Knights
fig-000057,Archer (Fright Knights),4757,6087-1,Witch's Magic Manor,1997,186,Castle,195,Fright Knights
fig-000057,Archer (Fright Knights),8219,6097-1,Night Lord's Castle,1997,186,Castle,195,Fright Knights
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",3328,75016-1,Homing Spider Droid,2013,158,Star Wars,158,Star Wars
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",6610,75000-1,Clone Troopers vs. Droidekas,2013,158,Star Wars,158,Star Wars
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",7018,75015-1,Corporate Alliance Tank Droid,2013,158,Star Wars,158,Star Wars
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",14416,75007-1,Republic Assault Ship & Planet Coruscant,2013,158,Star Wars,158,Star Wars
fig-000060,Edna Krabappel (CMF),3629,71009-14,Edna Krabappel,2015,535,Collectible Minifigures,553,The Simpsons Series 2
fig-000061,Blacktron II - 3626a Head,63,6981-1,Aerial Intruder,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,301,1462-1,Galactic Scout,1992,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,3040,6887-1,Allied Avenger,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,3297,6984-1,Galactic Mediator,1992,126,Space,140,Space Police II
fig-000061,Blacktron II - 3626a Head,3727,6832-1,Super Nova II,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,4545,1694-1,Galactic Scout,1992,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,5225,1887-1,Scout Patrol Ship,1992,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,10021,6933-1,Spectral Starguider,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,10789,1479-1,2-Pilot Craft,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,11644,6851-1,Tri-Wheeled Tyrax,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,13232,6704-1,Minifig Pack,1991,126,Space,143,Supplemental
fig-000061,Blacktron II - 3626a Head,14019,6897-1,Rebel Hunter,1992,126,Space,140,Space Police II
fig-000061,Blacktron II - 3626a Head,15147,6861-2,Super Model Building Instruction,1993,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,16309,6988-1,Alpha Centauri Outpost,1991,126,Space,129,Blacktron II
fig-000061,Blacktron II - 3626a Head,24815,6851-1,Tri-Wheeled Tyrax,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,10326,6957-1,Solar Snooper,1992,126,Space,140,Space Police II
fig-000062,Blacktron II - 3626b Head,38828,1479-1,2-Pilot Craft,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38829,6981-1,Aerial Intruder,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38830,6887-1,Allied Avenger,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38831,6988-1,Alpha Centauri Outpost,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38833,1694-1,Galactic Scout,1992,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38834,1462-1,Galactic Scout,1992,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38836,1887-1,Scout Patrol Ship,1992,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38837,6933-1,Spectral Starguider,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38839,6861-2,Super Model Building Instruction,1993,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38840,6832-1,Super Nova II,1991,126,Space,129,Blacktron II
fig-000062,Blacktron II - 3626b Head,38841,6851-1,Tri-Wheeled Tyrax,1991,126,Space,129,Blacktron II
fig-000063,Scratchy (CMF),8288,71005-14,Scratchy,2014,535,Collectible Minifigures,550,The Simpsons Series 1
fig-000064,"Clone ARC Trooper, Dark Red Markings (Episode 3)",1976,7250-1,Clone Scout Walker,2005,158,Star Wars,158,Star Wars
